"BestKnownObjectiveValue";"329"
"";"8.31"
"BestSequence";"c(6, 8, 2, 3, 4, 10, 7) c(1, 9, 5)"
"BestToolLoad";"c(1, 3, 6, 8, 10) c(2, 4, 5, 10, 13, 14, 11) c(2, 4, 8, 9, 10, 15, 5) c(5, 8, 9, 11, 12, 15, 2) c(2, 5, 7, 12, 15) c(1, 5, 6, 7, 10, 2, 11) c(1, 2, 4, 8, 11, 12, 5) c(2, 6, 10, 11, 12, 1, 5) c(1, 8, 11, 12, 14) c(5, 8, 9, 11, 12, 14, 2)"
