"1";"16";"0.09"
"2";"16";"0.14"
"3";"16";"0.19"
"4";"16";"0.23"
"5";"16";"0.28"
"6";"16";"0.33"
"7";"16";"0.39"
"8";"16";"0.42"
"9";"16";"0.47"
"10";"16";"0.52"
"11";"16";"0.56"
"12";"16";"0.61"
"13";"16";"0.66"
"14";"16";"0.69"
"15";"16";"0.75"
"16";"16";"0.8"
"17";"16";"0.84"
"18";"16";"0.89"
"19";"16";"0.94"
"20";"16";"0.98"
"21";"16";"1.03"
"22";"16";"1.08"
"23";"16";"1.12"
"24";"16";"1.17"
"25";"16";"1.22"
"26";"16";"1.28"
"27";"16";"1.31"
"28";"16";"1.37"
"29";"16";"1.41"
"30";"16";"1.47"
"31";"16";"1.5"
"32";"16";"1.55"
"33";"16";"1.59"
"34";"16";"1.64"
"35";"16";"1.69"
"36";"16";"1.73"
"37";"16";"1.78"
"38";"16";"1.84"
"39";"16";"1.89"
"40";"16";"1.94"
"41";"16";"1.98"
"42";"16";"2.03"
"43";"16";"2.08"
"44";"16";"2.12"
"45";"16";"2.17"
"46";"16";"2.23"
"47";"16";"2.28"
"48";"16";"2.33"
"49";"16";"2.39"
"50";"16";"2.44"
"51";"16";"2.47"
"52";"16";"2.52"
"53";"16";"2.58"
"54";"16";"2.62"
"55";"16";"2.7"
"56";"16";"2.78"
"57";"16";"2.87"
"58";"16";"2.94"
"59";"16";"3"
"60";"16";"3.05"
"61";"16";"3.09"
"62";"16";"3.14"
"63";"16";"3.19"
"64";"16";"3.25"
"65";"16";"3.3"
"66";"16";"3.34"
"67";"16";"3.41"
"68";"16";"3.45"
"69";"16";"3.52"
"70";"16";"3.55"
"71";"16";"3.59"
"72";"16";"3.66"
"73";"16";"3.7"
"74";"16";"3.75"
"75";"16";"3.81"
"76";"16";"3.86"
"77";"16";"3.92"
"78";"16";"3.95"
"79";"16";"4.02"
"80";"16";"4.06"
"81";"16";"4.11"
"82";"16";"4.16"
"83";"16";"4.2"
"84";"16";"4.27"
"85";"16";"4.31"
"86";"16";"4.34"
"87";"16";"4.39"
"88";"16";"4.45"
"89";"16";"4.5"
"90";"16";"4.55"
"91";"16";"4.59"
"92";"16";"4.64"
"93";"16";"4.67"
"94";"16";"4.72"
"95";"16";"4.78"
"96";"16";"4.83"
"97";"16";"4.87"
"98";"16";"4.92"
"99";"16";"4.98"
"100";"16";"5.03"
