"switch",13
"tft",254
"fmax",37
"",IGI: 0.02 sec elapsed
"seq",c(14, 3, 7, 8, 6) c(1, 15, 10, 5, 9) c(13, 2, 11, 4, 12)
"loads",c(4, 6, 12, 13, 14, 15, 18, 3, 2, 16) c(1, 3, 6, 10, 15, 16, 19, 7, 13, 2, 18, 20, 5) c(2, 3, 6, 9, 10, 20, 8) c(1, 5, 6, 8, 16, 20, 7, 2, 3, 10, 15, 19, 13) c(4, 6, 12, 13, 14, 15, 18, 3, 2, 16) c(9, 10, 12, 19, 20, 8, 14) c(2, 3, 9, 12, 16, 19, 10) c(8, 9, 12, 14, 17, 19, 10) c(4, 5, 8, 10, 15, 18, 6, 12, 13, 14) c(4, 6, 12, 13, 14, 15, 18, 3, 2, 16) c(1, 3, 6, 10, 15, 16, 19, 7, 13, 2, 18, 20, 5) c(1, 2, 4, 6, 7, 5, 8, 16, 20, 3, 10, 15, 19) c(1, 3, 6, 10, 15, 16, 19, 7, 13, 2, 18, 20, 5) c(2, 3, 8, 9, 13, 20, 6) c(4, 6, 12, 13, 14, 15, 18, 3, 2, 16)
