"switch_opt",3
"tft_opt",199
"fmax_opt",41
"",ILS: 600.19 sec elapsed
"seq_opt",c(2, 3, 9, 6, 4, 1) c(10, 7, 5, 8)
"loads_opt",c(3, 5, 9, 7, 6, 14) c(4, 7, 14, 12, 5, 6) c(4, 7, 14, 12, 5, 6) c(3, 5, 9, 7, 6, 14) c(2, 10, 15, 13, 1) c(6, 9, 14, 7, 5, 4) c(2, 10, 15, 13, 1) c(1, 11, 2, 10, 15) c(4, 7, 14, 12, 5, 6) c(2, 10, 15, 13, 1)
