"BestKnownObjectiveValue";"16"
"";"5.03"
"BestSequence";"c(10, 4, 9, 7, 3, 2) c(1, 6, 5, 8)"
"BestToolLoad";"c(1, 3, 6, 8, 10) c(2, 4, 5, 10, 13, 14, 8) c(2, 4, 8, 9, 10, 15, 14) c(5, 8, 9, 11, 12, 14, 15) c(2, 5, 7, 12, 15) c(1, 5, 6, 7, 10) c(1, 2, 4, 8, 11, 12, 14) c(2, 6, 10, 11, 12) c(1, 8, 11, 12, 14, 5, 9) c(5, 8, 9, 11, 12, 14, 15)"
